WARD,NEIGHBOURHOOD_NUMBER,STRUCTURE_TYPE,OCCUPIED,UNOCCUPIED,NO_LONGER_IN_USE,NO_RESPONSE
Ward 3,3030,Single Detached House,1235,18,2,0
Ward 3,3030,Duplex/Fourplex,139,3,1,0
Ward 3,3030,Row House,375,4,5,0
Ward 3,3030,Apartment (5+ stories),0,0,0,0
Ward 3,3030,Apartment (1-4 stories),0,0,0,0
Ward 3,3030,Manufactured/Mobile Home,0,0,0,0
Ward 3,3030,Institution/Collective Residence,0,0,0,0
Ward 3,3030,Hotel/Motel,0,0,0,0
Ward 3,3030,RV/Tent/Other,1,0,0,0
Ward 3,3030,No Response,0,0,0,0
Ward 3,3040,Single Detached House,842,11,6,0
Ward 3,3040,Duplex/Fourplex,117,4,0,0
Ward 3,3040,Row House,220,5,1,0
Ward 3,3040,Apartment (5+ stories),0,0,0,0
Ward 3,3040,Apartment (1-4 stories),743,32,13,0
Ward 3,3040,Manufactured/Mobile Home,0,0,0,0
Ward 3,3040,Institution/Collective Residence,0,0,0,0
Ward 3,3040,Hotel/Motel,0,0,0,0
Ward 3,3040,RV/Tent/Other,1,0,0,0
Ward 3,3040,No Response,0,0,0,0
Ward 3,3080,Single Detached House,918,20,1,0
Ward 3,3080,Duplex/Fourplex,58,1,0,0
Ward 3,3080,Row House,45,0,0,0
Ward 3,3080,Apartment (5+ stories),0,0,0,0
Ward 3,3080,Apartment (1-4 stories),0,0,0,0
Ward 3,3080,Manufactured/Mobile Home,0,0,0,0
Ward 3,3080,Institution/Collective Residence,0,0,0,0
Ward 3,3080,Hotel/Motel,0,0,0,0
Ward 3,3080,RV/Tent/Other,0,0,0,0
Ward 3,3080,No Response,0,0,0,0
Ward 3,3120,Single Detached House,656,31,0,0
Ward 3,3120,Duplex/Fourplex,3,1,0,0
Ward 3,3120,Row House,0,0,0,0
Ward 3,3120,Apartment (5+ stories),0,0,0,0
Ward 3,3120,Apartment (1-4 stories),0,0,0,0
Ward 3,3120,Manufactured/Mobile Home,0,0,0,0
Ward 3,3120,Institution/Collective Residence,0,0,0,0
Ward 3,3120,Hotel/Motel,0,0,0,0
Ward 3,3120,RV/Tent/Other,0,0,0,0
Ward 3,3120,No Response,0,0,0,0
Ward 3,3180,Single Detached House,1177,9,1,0
Ward 3,3180,Duplex/Fourplex,164,4,1,0
Ward 3,3180,Row House,379,10,3,0
Ward 3,3180,Apartment (5+ stories),0,0,0,0
Ward 3,3180,Apartment (1-4 stories),615,26,69,0
Ward 3,3180,Manufactured/Mobile Home,114,2,0,0
Ward 3,3180,Institution/Collective Residence,0,0,0,0
Ward 3,3180,Hotel/Motel,0,0,0,0
Ward 3,3180,RV/Tent/Other,0,0,0,0
Ward 3,3180,No Response,0,0,0,0
Ward 3,3190,Single Detached House,588,6,5,0
Ward 3,3190,Duplex/Fourplex,130,2,2,0
Ward 3,3190,Row House,56,43,0,0
Ward 3,3190,Apartment (5+ stories),0,0,0,0
Ward 3,3190,Apartment (1-4 stories),3,0,0,0
Ward 3,3190,Manufactured/Mobile Home,0,0,0,0
Ward 3,3190,Institution/Collective Residence,0,0,0,0
Ward 3,3190,Hotel/Motel,0,0,0,0
Ward 3,3190,RV/Tent/Other,0,0,0,0
Ward 3,3190,No Response,0,0,0,0
Ward 3,3280,Single Detached House,811,10,5,0
Ward 3,3280,Duplex/Fourplex,117,3,0,0
Ward 3,3280,Row House,351,12,9,0
Ward 3,3280,Apartment (5+ stories),0,0,0,0
Ward 3,3280,Apartment (1-4 stories),154,3,8,0
Ward 3,3280,Manufactured/Mobile Home,0,0,0,0
Ward 3,3280,Institution/Collective Residence,0,0,0,0
Ward 3,3280,Hotel/Motel,0,0,0,0
Ward 3,3280,RV/Tent/Other,0,0,0,0
Ward 3,3280,No Response,0,0,0,0
Ward 3,3370,Single Detached House,279,19,0,0
Ward 3,3370,Duplex/Fourplex,51,3,0,0
Ward 3,3370,Row House,0,0,0,0
Ward 3,3370,Apartment (5+ stories),0,0,0,0
Ward 3,3370,Apartment (1-4 stories),0,0,0,0
Ward 3,3370,Manufactured/Mobile Home,0,0,0,0
Ward 3,3370,Institution/Collective Residence,0,0,0,0
Ward 3,3370,Hotel/Motel,0,0,0,0
Ward 3,3370,RV/Tent/Other,0,0,0,0
Ward 3,3370,No Response,0,0,0,0
Ward 3,3490,Single Detached House,5,0,0,0
Ward 3,3490,Duplex/Fourplex,0,0,0,0
Ward 3,3490,Row House,0,0,0,0
Ward 3,3490,Apartment (5+ stories),0,0,0,0
Ward 3,3490,Apartment (1-4 stories),0,0,0,0
Ward 3,3490,Manufactured/Mobile Home,0,0,0,0
Ward 3,3490,Institution/Collective Residence,1,0,0,0
Ward 3,3490,Hotel/Motel,0,0,0,0
Ward 3,3490,RV/Tent/Other,0,0,0,0
Ward 3,3490,No Response,0,0,0,0
Ward 3,4016,Single Detached House,0,0,0,0
Ward 3,4016,Duplex/Fourplex,0,0,0,0
Ward 3,4016,Row House,0,0,0,0
Ward 3,4016,Apartment (5+ stories),0,0,0,0
Ward 3,4016,Apartment (1-4 stories),0,0,0,0
Ward 3,4016,Manufactured/Mobile Home,0,0,0,0
Ward 3,4016,Institution/Collective Residence,0,0,0,0
Ward 3,4016,Hotel/Motel,0,0,0,0
Ward 3,4016,RV/Tent/Other,0,0,0,0
Ward 3,4016,No Response,0,0,0,0
Ward 3,4017,Single Detached House,0,0,0,0
Ward 3,4017,Duplex/Fourplex,0,0,0,0
Ward 3,4017,Row House,0,0,0,0
Ward 3,4017,Apartment (5+ stories),0,0,0,0
Ward 3,4017,Apartment (1-4 stories),0,0,0,0
Ward 3,4017,Manufactured/Mobile Home,0,0,0,0
Ward 3,4017,Institution/Collective Residence,0,0,0,0
Ward 3,4017,Hotel/Motel,0,0,0,0
Ward 3,4017,RV/Tent/Other,0,0,0,0
Ward 3,4017,No Response,0,0,0,0
Ward 4,2030,Single Detached House,545,3,5,0
Ward 4,2030,Duplex/Fourplex,0,0,0,0
Ward 4,2030,Row House,442,6,0,0
Ward 4,2030,Apartment (5+ stories),0,0,0,0
Ward 4,2030,Apartment (1-4 stories),203,25,4,0
Ward 4,2030,Manufactured/Mobile Home,0,0,0,0
Ward 4,2030,Institution/Collective Residence,0,0,0,0
Ward 4,2030,Hotel/Motel,0,0,0,0
Ward 4,2030,RV/Tent/Other,1,0,0,0
Ward 4,2030,No Response,0,0,0,0
Ward 4,2070,Single Detached House,773,13,3,0
Ward 4,2070,Duplex/Fourplex,320,6,1,0
Ward 4,2070,Row House,527,39,8,0
Ward 4,2070,Apartment (5+ stories),0,0,0,0
Ward 4,2070,Apartment (1-4 stories),374,6,1,0
Ward 4,2070,Manufactured/Mobile Home,0,0,0,0
Ward 4,2070,Institution/Collective Residence,1,0,0,0
Ward 4,2070,Hotel/Motel,0,0,0,0
Ward 4,2070,RV/Tent/Other,0,0,0,0
Ward 4,2070,No Response,0,0,0,0
Ward 4,2080,Single Detached House,876,25,64,0
Ward 4,2080,Duplex/Fourplex,157,6,14,0
Ward 4,2080,Row House,112,5,0,0
Ward 4,2080,Apartment (5+ stories),275,14,0,0
Ward 4,2080,Apartment (1-4 stories),956,40,24,0
Ward 4,2080,Manufactured/Mobile Home,0,0,0,0
Ward 4,2080,Institution/Collective Residence,55,55,1,0
Ward 4,2080,Hotel/Motel,1,1,0,0
Ward 4,2080,RV/Tent/Other,1,0,2,0
Ward 4,2080,No Response,0,0,0,0
Ward 4,2110,Single Detached House,1570,37,2,0
Ward 4,2110,Duplex/Fourplex,29,1,0,0
Ward 4,2110,Row House,85,38,1,0
Ward 4,2110,Apartment (5+ stories),92,144,0,0
Ward 4,2110,Apartment (1-4 stories),0,0,0,0
Ward 4,2110,Manufactured/Mobile Home,0,0,0,0
Ward 4,2110,Institution/Collective Residence,0,0,0,0
Ward 4,2110,Hotel/Motel,0,0,0,0
Ward 4,2110,RV/Tent/Other,0,0,0,0
Ward 4,2110,No Response,0,0,0,0
Ward 4,2120,Single Detached House,167,2,0,0
Ward 4,2120,Duplex/Fourplex,60,3,0,0
Ward 4,2120,Row House,278,15,3,0
Ward 4,2120,Apartment (5+ stories),0,0,0,0
Ward 4,2120,Apartment (1-4 stories),517,31,2,0
Ward 4,2120,Manufactured/Mobile Home,0,0,0,0
Ward 4,2120,Institution/Collective Residence,0,0,0,0
Ward 4,2120,Hotel/Motel,0,0,0,0
Ward 4,2120,RV/Tent/Other,0,0,1,0
Ward 4,2120,No Response,0,0,0,0
Ward 4,2130,Single Detached House,378,8,4,0
Ward 4,2130,Duplex/Fourplex,0,0,0,0
Ward 4,2130,Row House,678,66,9,0
Ward 4,2130,Apartment (5+ stories),0,0,0,0
Ward 4,2130,Apartment (1-4 stories),349,28,6,0
Ward 4,2130,Manufactured/Mobile Home,0,0,0,0
Ward 4,2130,Institution/Collective Residence,0,0,0,0
Ward 4,2130,Hotel/Motel,0,0,0,0
Ward 4,2130,RV/Tent/Other,0,0,0,0
Ward 4,2130,No Response,0,0,0,0
Ward 4,2145,Single Detached House,140,2,0,0
Ward 4,2145,Duplex/Fourplex,130,2,0,0
Ward 4,2145,Row House,2,0,125,0
Ward 4,2145,Apartment (5+ stories),212,13,0,0
Ward 4,2145,Apartment (1-4 stories),980,88,12,0
Ward 4,2145,Manufactured/Mobile Home,0,0,0,0
Ward 4,2145,Institution/Collective Residence,0,0,0,0
Ward 4,2145,Hotel/Motel,0,1,0,0
Ward 4,2145,RV/Tent/Other,0,0,0,0
Ward 4,2145,No Response,0,0,0,0
Ward 4,2160,Single Detached House,0,0,0,0
Ward 4,2160,Duplex/Fourplex,0,0,0,0
Ward 4,2160,Row House,0,0,0,0
Ward 4,2160,Apartment (5+ stories),0,0,0,0
Ward 4,2160,Apartment (1-4 stories),0,0,0,0
Ward 4,2160,Manufactured/Mobile Home,0,0,0,0
Ward 4,2160,Institution/Collective Residence,0,0,0,0
Ward 4,2160,Hotel/Motel,0,0,0,0
Ward 4,2160,RV/Tent/Other,0,0,0,0
Ward 4,2160,No Response,0,0,0,0
Ward 4,2251,Single Detached House,0,0,0,0
Ward 4,2251,Duplex/Fourplex,0,0,0,0
Ward 4,2251,Row House,0,0,0,0
Ward 4,2251,Apartment (5+ stories),0,0,0,0
Ward 4,2251,Apartment (1-4 stories),0,0,0,0
Ward 4,2251,Manufactured/Mobile Home,0,0,0,0
Ward 4,2251,Institution/Collective Residence,0,0,0,0
Ward 4,2251,Hotel/Motel,0,0,0,0
Ward 4,2251,RV/Tent/Other,0,0,0,0
Ward 4,2251,No Response,0,0,0,0
Ward 4,2270,Single Detached House,0,0,0,0
Ward 4,2270,Duplex/Fourplex,0,0,0,0
Ward 4,2270,Row House,0,0,0,0
Ward 4,2270,Apartment (5+ stories),0,0,0,0
Ward 4,2270,Apartment (1-4 stories),0,0,0,0
Ward 4,2270,Manufactured/Mobile Home,666,27,11,0
Ward 4,2270,Institution/Collective Residence,0,0,0,0
Ward 4,2270,Hotel/Motel,0,0,0,0
Ward 4,2270,RV/Tent/Other,0,0,0,0
Ward 4,2270,No Response,0,0,0,0
Ward 4,2280,Single Detached House,728,27,9,0
Ward 4,2280,Duplex/Fourplex,104,2,1,0
Ward 4,2280,Row House,104,2,1,0
Ward 4,2280,Apartment (5+ stories),0,0,0,0
Ward 4,2280,Apartment (1-4 stories),277,21,20,0
Ward 4,2280,Manufactured/Mobile Home,0,0,0,0
Ward 4,2280,Institution/Collective Residence,5,0,0,0
Ward 4,2280,Hotel/Motel,0,0,0,0
Ward 4,2280,RV/Tent/Other,0,0,0,0
Ward 4,2280,No Response,0,0,0,0
Ward 4,2311,Single Detached House,0,0,0,0
Ward 4,2311,Duplex/Fourplex,0,0,0,0
Ward 4,2311,Row House,0,0,0,0
Ward 4,2311,Apartment (5+ stories),0,0,0,0
Ward 4,2311,Apartment (1-4 stories),0,0,0,0
Ward 4,2311,Manufactured/Mobile Home,0,0,0,0
Ward 4,2311,Institution/Collective Residence,0,0,0,0
Ward 4,2311,Hotel/Motel,0,0,0,0
Ward 4,2311,RV/Tent/Other,0,0,0,0
Ward 4,2311,No Response,0,0,0,0
Ward 4,2320,Single Detached House,253,5,0,0
Ward 4,2320,Duplex/Fourplex,34,3,0,0
Ward 4,2320,Row House,500,23,6,0
Ward 4,2320,Apartment (5+ stories),0,0,0,0
Ward 4,2320,Apartment (1-4 stories),181,6,2,0
Ward 4,2320,Manufactured/Mobile Home,0,0,0,0
Ward 4,2320,Institution/Collective Residence,0,0,0,0
Ward 4,2320,Hotel/Motel,0,0,0,0
Ward 4,2320,RV/Tent/Other,0,0,0,0
Ward 4,2320,No Response,0,0,0,0
Ward 4,2340,Single Detached House,1364,9,7,0
Ward 4,2340,Duplex/Fourplex,228,2,0,0
Ward 4,2340,Row House,48,0,0,0
Ward 4,2340,Apartment (5+ stories),0,0,0,0
Ward 4,2340,Apartment (1-4 stories),205,251,3,0
Ward 4,2340,Manufactured/Mobile Home,0,0,0,0
Ward 4,2340,Institution/Collective Residence,2,0,0,0
Ward 4,2340,Hotel/Motel,0,0,0,0
Ward 4,2340,RV/Tent/Other,0,0,0,0
Ward 4,2340,No Response,0,0,0,0
Ward 4,2350,Single Detached House,446,9,4,0
Ward 4,2350,Duplex/Fourplex,92,0,1,0
Ward 4,2350,Row House,528,27,6,0
Ward 4,2350,Apartment (5+ stories),0,0,0,0
Ward 4,2350,Apartment (1-4 stories),238,27,1,0
Ward 4,2350,Manufactured/Mobile Home,0,0,0,0
Ward 4,2350,Institution/Collective Residence,0,0,0,0
Ward 4,2350,Hotel/Motel,0,0,0,0
Ward 4,2350,RV/Tent/Other,2,0,0,0
Ward 4,2350,No Response,0,0,0,0
Ward 4,2380,Single Detached House,0,0,0,0
Ward 4,2380,Duplex/Fourplex,0,0,0,0
Ward 4,2380,Row House,0,0,0,0
Ward 4,2380,Apartment (5+ stories),0,0,0,0
Ward 4,2380,Apartment (1-4 stories),0,0,0,0
Ward 4,2380,Manufactured/Mobile Home,0,0,0,0
Ward 4,2380,Institution/Collective Residence,0,0,0,0
Ward 4,2380,Hotel/Motel,0,0,0,0
Ward 4,2380,RV/Tent/Other,0,0,0,0
Ward 4,2380,No Response,0,0,0,0
Ward 4,2390,Single Detached House,707,15,5,0
Ward 4,2390,Duplex/Fourplex,118,1,0,0
Ward 4,2390,Row House,264,18,2,0
Ward 4,2390,Apartment (5+ stories),0,0,0,0
Ward 4,2390,Apartment (1-4 stories),59,3,0,0
Ward 4,2390,Manufactured/Mobile Home,0,0,0,0
Ward 4,2390,Institution/Collective Residence,0,0,0,0
Ward 4,2390,Hotel/Motel,0,0,0,0
Ward 4,2390,RV/Tent/Other,0,0,0,0
Ward 4,2390,No Response,0,0,0,0
Ward 4,2430,Single Detached House,731,8,1,0
Ward 4,2430,Duplex/Fourplex,94,6,1,0
Ward 4,2430,Row House,156,5,0,0
Ward 4,2430,Apartment (5+ stories),0,0,0,0
Ward 4,2430,Apartment (1-4 stories),448,24,4,0
Ward 4,2430,Manufactured/Mobile Home,0,0,0,0
Ward 4,2430,Institution/Collective Residence,0,0,0,0
Ward 4,2430,Hotel/Motel,0,0,0,0
Ward 4,2430,RV/Tent/Other,0,0,0,0
Ward 4,2430,No Response,0,0,0,0
Ward 4,2500,Single Detached House,1059,11,3,0
Ward 4,2500,Duplex/Fourplex,95,0,0,0
Ward 4,2500,Row House,25,1,0,0
Ward 4,2500,Apartment (5+ stories),0,0,0,0
Ward 4,2500,Apartment (1-4 stories),101,1,1,0
Ward 4,2500,Manufactured/Mobile Home,0,0,0,0
Ward 4,2500,Institution/Collective Residence,1,0,0,0
Ward 4,2500,Hotel/Motel,0,0,0,0
Ward 4,2500,RV/Tent/Other,0,0,0,0
Ward 4,2500,No Response,0,0,0,0
Ward 4,2521,Single Detached House,696,42,0,0
Ward 4,2521,Duplex/Fourplex,27,5,0,0
Ward 4,2521,Row House,50,67,0,0
Ward 4,2521,Apartment (5+ stories),235,85,10,0
Ward 4,2521,Apartment (1-4 stories),0,0,0,0
Ward 4,2521,Manufactured/Mobile Home,0,0,0,0
Ward 4,2521,Institution/Collective Residence,0,0,0,0
Ward 4,2521,Hotel/Motel,0,0,0,0
Ward 4,2521,RV/Tent/Other,0,0,0,0
Ward 4,2521,No Response,0,0,0,0
Ward 4,2530,Single Detached House,871,8,8,0
Ward 4,2530,Duplex/Fourplex,1,1,0,0
Ward 4,2530,Row House,0,0,0,0
Ward 4,2530,Apartment (5+ stories),0,0,0,0
Ward 4,2530,Apartment (1-4 stories),0,0,0,0
Ward 4,2530,Manufactured/Mobile Home,0,0,0,0
Ward 4,2530,Institution/Collective Residence,0,0,0,0
Ward 4,2530,Hotel/Motel,0,0,0,0
Ward 4,2530,RV/Tent/Other,0,0,0,0
Ward 4,2530,No Response,0,0,0,0
Ward 4,2541,Single Detached House,643,9,3,0
Ward 4,2541,Duplex/Fourplex,109,3,0,0
Ward 4,2541,Row House,150,5,1,0
Ward 4,2541,Apartment (5+ stories),0,0,0,0
Ward 4,2541,Apartment (1-4 stories),215,6,19,0
Ward 4,2541,Manufactured/Mobile Home,0,0,0,0
Ward 4,2541,Institution/Collective Residence,1,0,0,0
Ward 4,2541,Hotel/Motel,0,0,0,0
Ward 4,2541,RV/Tent/Other,0,0,0,0
Ward 4,2541,No Response,0,0,0,0
Ward 4,2590,Single Detached House,316,2,1,0
Ward 4,2590,Duplex/Fourplex,44,0,0,0
Ward 4,2590,Row House,356,6,0,0
Ward 4,2590,Apartment (5+ stories),0,0,0,0
Ward 4,2590,Apartment (1-4 stories),551,3,11,0
Ward 4,2590,Manufactured/Mobile Home,0,0,0,0
Ward 4,2590,Institution/Collective Residence,0,0,0,0
Ward 4,2590,Hotel/Motel,0,0,0,0
Ward 4,2590,RV/Tent/Other,0,0,0,0
Ward 4,2590,No Response,0,0,0,0
Ward 4,2611,Single Detached House,0,0,0,0
Ward 4,2611,Duplex/Fourplex,0,0,0,0
Ward 4,2611,Row House,0,0,0,0
Ward 4,2611,Apartment (5+ stories),0,0,0,0
Ward 4,2611,Apartment (1-4 stories),0,0,0,0
Ward 4,2611,Manufactured/Mobile Home,0,0,0,0
Ward 4,2611,Institution/Collective Residence,0,0,0,0
Ward 4,2611,Hotel/Motel,0,0,0,0
Ward 4,2611,RV/Tent/Other,0,0,0,0
Ward 4,2611,No Response,0,0,0,0
Ward 4,2630,Single Detached House,0,0,0,0
Ward 4,2630,Duplex/Fourplex,0,0,0,0
Ward 4,2630,Row House,0,0,0,0
Ward 4,2630,Apartment (5+ stories),0,0,0,0
Ward 4,2630,Apartment (1-4 stories),0,0,0,0
Ward 4,2630,Manufactured/Mobile Home,0,0,0,0
Ward 4,2630,Institution/Collective Residence,0,0,0,0
Ward 4,2630,Hotel/Motel,0,0,0,0
Ward 4,2630,RV/Tent/Other,0,0,0,0
Ward 4,2630,No Response,0,0,0,0
Ward 4,2670,Single Detached House,85,2,15,0
Ward 4,2670,Duplex/Fourplex,0,0,0,0
Ward 4,2670,Row House,0,0,0,0
Ward 4,2670,Apartment (5+ stories),0,0,0,0
Ward 4,2670,Apartment (1-4 stories),0,0,0,0
Ward 4,2670,Manufactured/Mobile Home,2,0,0,0
Ward 4,2670,Institution/Collective Residence,0,1,0,0
Ward 4,2670,Hotel/Motel,0,0,0,0
Ward 4,2670,RV/Tent/Other,0,0,0,0
Ward 4,2670,No Response,0,0,0,0
Ward 4,2680,Single Detached House,68,3,14,0
Ward 4,2680,Duplex/Fourplex,0,0,0,0
Ward 4,2680,Row House,0,0,0,0
Ward 4,2680,Apartment (5+ stories),0,0,0,0
Ward 4,2680,Apartment (1-4 stories),0,0,0,0
Ward 4,2680,Manufactured/Mobile Home,3,0,0,0
Ward 4,2680,Institution/Collective Residence,1,0,0,0
Ward 4,2680,Hotel/Motel,0,0,0,0
Ward 4,2680,RV/Tent/Other,0,0,0,0
Ward 4,2680,No Response,0,0,0,0
Ward 4,2690,Single Detached House,214,4,19,0
Ward 4,2690,Duplex/Fourplex,0,0,0,0
Ward 4,2690,Row House,0,0,0,0
Ward 4,2690,Apartment (5+ stories),0,0,0,0
Ward 4,2690,Apartment (1-4 stories),0,0,0,0
Ward 4,2690,Manufactured/Mobile Home,3,0,0,0
Ward 4,2690,Institution/Collective Residence,0,0,0,0
Ward 4,2690,Hotel/Motel,0,0,0,0
Ward 4,2690,RV/Tent/Other,0,0,0,0
Ward 4,2690,No Response,0,0,0,0
Ward 4,2710,Single Detached House,251,8,2,0
Ward 4,2710,Duplex/Fourplex,33,1,0,0
Ward 4,2710,Row House,134,8,2,0
Ward 4,2710,Apartment (5+ stories),0,0,0,0
Ward 4,2710,Apartment (1-4 stories),468,34,20,0
Ward 4,2710,Manufactured/Mobile Home,0,0,0,0
Ward 4,2710,Institution/Collective Residence,1,0,0,0
Ward 4,2710,Hotel/Motel,0,0,0,0
Ward 4,2710,RV/Tent/Other,0,0,0,0
Ward 4,2710,No Response,0,0,0,0
Ward 4,2720,Single Detached House,797,13,13,0
Ward 4,2720,Duplex/Fourplex,100,3,0,0
Ward 4,2720,Row House,416,8,4,0
Ward 4,2720,Apartment (5+ stories),0,0,0,0
Ward 4,2720,Apartment (1-4 stories),192,9,35,0
Ward 4,2720,Manufactured/Mobile Home,0,0,0,0
Ward 4,2720,Institution/Collective Residence,0,0,0,0
Ward 4,2720,Hotel/Motel,0,0,0,0
Ward 4,2720,RV/Tent/Other,0,0,0,0
Ward 4,2720,No Response,0,0,0,0
Ward 4,4019,Single Detached House,0,0,0,0
Ward 4,4019,Duplex/Fourplex,0,0,0,0
Ward 4,4019,Row House,0,0,0,0
Ward 4,4019,Apartment (5+ stories),0,0,0,0
Ward 4,4019,Apartment (1-4 stories),0,0,0,0
Ward 4,4019,Manufactured/Mobile Home,0,0,0,0
Ward 4,4019,Institution/Collective Residence,0,0,0,0
Ward 4,4019,Hotel/Motel,0,0,0,0
Ward 4,4019,RV/Tent/Other,0,0,0,0
Ward 4,4019,No Response,0,0,0,0
Ward 4,4021,Single Detached House,0,0,0,0
Ward 4,4021,Duplex/Fourplex,0,0,0,0
Ward 4,4021,Row House,0,0,0,0
Ward 4,4021,Apartment (5+ stories),0,0,0,0
Ward 4,4021,Apartment (1-4 stories),0,0,0,0
Ward 4,4021,Manufactured/Mobile Home,0,0,0,0
Ward 4,4021,Institution/Collective Residence,0,0,0,0
Ward 4,4021,Hotel/Motel,0,0,0,0
Ward 4,4021,RV/Tent/Other,0,0,0,0
Ward 4,4021,No Response,0,0,0,0
Ward 4,4022,Single Detached House,0,0,0,0
Ward 4,4022,Duplex/Fourplex,0,0,0,0
Ward 4,4022,Row House,0,0,0,0
Ward 4,4022,Apartment (5+ stories),0,0,0,0
Ward 4,4022,Apartment (1-4 stories),0,0,0,0
Ward 4,4022,Manufactured/Mobile Home,0,0,0,0
Ward 4,4022,Institution/Collective Residence,0,0,0,0
Ward 4,4022,Hotel/Motel,0,0,0,0
Ward 4,4022,RV/Tent/Other,0,0,0,0
Ward 4,4022,No Response,0,0,0,0
Ward 5,3270,Single Detached House,916,20,5,0
Ward 5,3270,Duplex/Fourplex,0,0,0,0
Ward 5,3270,Row House,0,0,0,0
Ward 5,3270,Apartment (5+ stories),0,0,0,0
Ward 5,3270,Apartment (1-4 stories),26,1,0,0
Ward 5,3270,Manufactured/Mobile Home,0,0,0,0
Ward 5,3270,Institution/Collective Residence,222,53,0,0
Ward 5,3270,Hotel/Motel,0,0,0,0
Ward 5,3270,RV/Tent/Other,0,0,0,0
Ward 5,3270,No Response,0,0,0,0
Ward 5,3382,Single Detached House,0,0,0,0
Ward 5,3382,Duplex/Fourplex,0,0,0,0
Ward 5,3382,Row House,0,0,0,0
Ward 5,3382,Apartment (5+ stories),0,0,0,0
Ward 5,3382,Apartment (1-4 stories),0,0,0,0
Ward 5,3382,Manufactured/Mobile Home,0,0,0,0
Ward 5,3382,Institution/Collective Residence,0,0,0,0
Ward 5,3382,Hotel/Motel,0,0,0,0
Ward 5,3382,RV/Tent/Other,0,0,0,0
Ward 5,3382,No Response,0,0,0,0
Ward 5,4012,Single Detached House,0,0,0,0
Ward 5,4012,Duplex/Fourplex,0,0,0,0
Ward 5,4012,Row House,0,0,0,0
Ward 5,4012,Apartment (5+ stories),0,0,0,0
Ward 5,4012,Apartment (1-4 stories),0,0,0,0
Ward 5,4012,Manufactured/Mobile Home,0,0,0,0
Ward 5,4012,Institution/Collective Residence,0,0,0,0
Ward 5,4012,Hotel/Motel,0,0,0,0
Ward 5,4012,RV/Tent/Other,0,0,0,0
Ward 5,4012,No Response,0,0,0,0
Ward 5,4070,Single Detached House,117,1,2,0
Ward 5,4070,Duplex/Fourplex,76,1,1,0
Ward 5,4070,Row House,397,16,10,0
Ward 5,4070,Apartment (5+ stories),141,8,0,0
Ward 5,4070,Apartment (1-4 stories),382,22,11,0
Ward 5,4070,Manufactured/Mobile Home,0,0,0,0
Ward 5,4070,Institution/Collective Residence,0,0,0,0
Ward 5,4070,Hotel/Motel,0,0,0,0
Ward 5,4070,RV/Tent/Other,0,0,0,0
Ward 5,4070,No Response,0,0,0,0
Ward 5,4080,Single Detached House,10,0,7,0
Ward 5,4080,Duplex/Fourplex,64,2,0,0
Ward 5,4080,Row House,468,21,28,0
Ward 5,4080,Apartment (5+ stories),712,14,8,0
Ward 5,4080,Apartment (1-4 stories),1638,38,19,0
Ward 5,4080,Manufactured/Mobile Home,0,0,0,0
Ward 5,4080,Institution/Collective Residence,0,0,0,0
Ward 5,4080,Hotel/Motel,0,0,0,0
Ward 5,4080,RV/Tent/Other,0,0,0,0
Ward 5,4080,No Response,0,0,0,0
Ward 5,4110,Single Detached House,526,3,2,0
Ward 5,4110,Duplex/Fourplex,66,1,0,0
Ward 5,4110,Row House,0,0,0,0
Ward 5,4110,Apartment (5+ stories),0,0,0,0
Ward 5,4110,Apartment (1-4 stories),0,0,0,0
Ward 5,4110,Manufactured/Mobile Home,0,0,0,0
Ward 5,4110,Institution/Collective Residence,0,0,0,0
Ward 5,4110,Hotel/Motel,0,0,0,0
Ward 5,4110,RV/Tent/Other,0,0,0,0
Ward 5,4110,No Response,0,0,0,0
Ward 5,4120,Single Detached House,364,21,1,0
Ward 5,4120,Duplex/Fourplex,0,0,0,0
Ward 5,4120,Row House,0,0,0,0
Ward 5,4120,Apartment (5+ stories),0,0,0,0
Ward 5,4120,Apartment (1-4 stories),0,0,0,0
Ward 5,4120,Manufactured/Mobile Home,0,0,0,0
Ward 5,4120,Institution/Collective Residence,85,107,0,0
Ward 5,4120,Hotel/Motel,0,0,0,0
Ward 5,4120,RV/Tent/Other,0,0,0,0
Ward 5,4120,No Response,0,0,0,0
Ward 5,4140,Single Detached House,726,27,4,0
Ward 5,4140,Duplex/Fourplex,119,6,0,0
Ward 5,4140,Row House,0,0,0,0
Ward 5,4140,Apartment (5+ stories),0,0,0,0
Ward 5,4140,Apartment (1-4 stories),127,3,1,0
Ward 5,4140,Manufactured/Mobile Home,0,0,0,0
Ward 5,4140,Institution/Collective Residence,26,34,1,0
Ward 5,4140,Hotel/Motel,0,0,0,0
Ward 5,4140,RV/Tent/Other,0,0,0,0
Ward 5,4140,No Response,0,0,0,0
Ward 5,4160,Single Detached House,483,7,1,0
Ward 5,4160,Duplex/Fourplex,97,2,0,0
Ward 5,4160,Row House,145,6,1,0
Ward 5,4160,Apartment (5+ stories),0,0,0,0
Ward 5,4160,Apartment (1-4 stories),0,0,0,0
Ward 5,4160,Manufactured/Mobile Home,0,0,0,0
Ward 5,4160,Institution/Collective Residence,0,0,0,0
Ward 5,4160,Hotel/Motel,0,0,0,0
Ward 5,4160,RV/Tent/Other,0,0,0,0
Ward 5,4160,No Response,0,0,0,0
Ward 5,4220,Single Detached House,1235,7,10,0
