WARD,NEIGHBOURHOOD_NUMBER,STRUCTURE_TYPE,OCCUPIED,UNOCCUPIED,NO_LONGER_IN_USE,NO_RESPONSE
Ward 1,4200,Duplex/Fourplex,23,4,2,0
Ward 1,4200,Row House,4,0,0,0
Ward 1,4200,Apartment (5+ stories),0,0,0,0
Ward 1,4200,Apartment (1-4 stories),0,0,0,0
Ward 1,4200,Manufactured/Mobile Home,0,0,0,0
Ward 1,4200,Institution/Collective Residence,0,0,0,0
Ward 1,4200,Hotel/Motel,3,0,0,0
Ward 1,4200,RV/Tent/Other,0,0,0,0
Ward 1,4200,No Response,0,0,0,0
Ward 1,4230,Single Detached House,465,14,36,0
Ward 1,4230,Duplex/Fourplex,34,3,4,0
Ward 1,4230,Row House,0,0,0,0
Ward 1,4230,Apartment (5+ stories),0,0,0,0
Ward 1,4230,Apartment (1-4 stories),351,30,7,0
Ward 1,4230,Manufactured/Mobile Home,0,0,0,0
Ward 1,4230,Institution/Collective Residence,0,0,0,0
Ward 1,4230,Hotel/Motel,0,0,0,0
Ward 1,4230,RV/Tent/Other,0,0,0,0
Ward 1,4230,No Response,0,0,0,0
Ward 1,4240,Single Detached House,978,10,3,0
Ward 1,4240,Duplex/Fourplex,137,7,1,0
Ward 1,4240,Row House,425,21,0,0
Ward 1,4240,Apartment (5+ stories),0,0,0,0
Ward 1,4240,Apartment (1-4 stories),423,18,1,0
Ward 1,4240,Manufactured/Mobile Home,0,0,0,0
Ward 1,4240,Institution/Collective Residence,1,0,0,0
Ward 1,4240,Hotel/Motel,0,0,0,0
Ward 1,4240,RV/Tent/Other,0,0,0,0
Ward 1,4240,No Response,0,0,0,0
Ward 1,4290,Single Detached House,756,24,3,0
Ward 1,4290,Duplex/Fourplex,15,0,0,0
Ward 1,4290,Row House,23,0,0,0
Ward 1,4290,Apartment (5+ stories),0,0,0,0
Ward 1,4290,Apartment (1-4 stories),64,1,0,0
Ward 1,4290,Manufactured/Mobile Home,0,0,0,0
Ward 1,4290,Institution/Collective Residence,0,0,0,0
Ward 1,4290,Hotel/Motel,0,0,0,0
Ward 1,4290,RV/Tent/Other,0,0,0,0
Ward 1,4290,No Response,0,0,0,0
Ward 1,4300,Single Detached House,0,0,0,0
Ward 1,4300,Duplex/Fourplex,0,0,0,0
Ward 1,4300,Row House,0,0,0,0
Ward 1,4300,Apartment (5+ stories),0,0,0,0
Ward 1,4300,Apartment (1-4 stories),0,0,0,0
Ward 1,4300,Manufactured/Mobile Home,0,0,0,0
Ward 1,4300,Institution/Collective Residence,0,0,0,0
Ward 1,4300,Hotel/Motel,0,0,0,0
Ward 1,4300,RV/Tent/Other,0,0,0,0
Ward 1,4300,No Response,0,0,0,0
Ward 1,4310,Single Detached House,898,17,10,0
Ward 1,4310,Duplex/Fourplex,0,0,0,0
Ward 1,4310,Row House,0,0,0,0
Ward 1,4310,Apartment (5+ stories),0,0,0,0
Ward 1,4310,Apartment (1-4 stories),279,4,0,0
Ward 1,4310,Manufactured/Mobile Home,0,0,0,0
Ward 1,4310,Institution/Collective Residence,3,0,0,0
Ward 1,4310,Hotel/Motel,0,0,0,0
Ward 1,4310,RV/Tent/Other,2,0,0,0
Ward 1,4310,No Response,0,0,0,0
Ward 1,4340,Single Detached House,0,0,0,0
Ward 1,4340,Duplex/Fourplex,0,0,0,0
Ward 1,4340,Row House,0,0,0,0
Ward 1,4340,Apartment (5+ stories),0,0,0,0
Ward 1,4340,Apartment (1-4 stories),0,0,0,0
Ward 1,4340,Manufactured/Mobile Home,0,0,0,0
Ward 1,4340,Institution/Collective Residence,0,0,0,0
Ward 1,4340,Hotel/Motel,0,0,0,0
Ward 1,4340,RV/Tent/Other,0,0,0,0
Ward 1,4340,No Response,0,0,0,0
Ward 1,4350,Single Detached House,0,0,0,0
Ward 1,4350,Duplex/Fourplex,0,0,0,0
